"id","first_name","last_name","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","points_vor","rank","floor_vor","floor_rank","ceiling_vor","ceiling_rank"
"0526","Atlanta","Falcons","ATL","DST",NA,48,"DST","average",100.766666666667,19,2.78333333333335,19.4972647654314,77.81,112.82,9,-24.4166666666667,177,-11.7316666666667,147,-23.1116666666667,176
"0526","Atlanta","Falcons","ATL","DST",NA,48,"DST","robust",99.575,19,1.925,25.35246,77.81,112.82,9,-24.4583333333333,178,-11.7316666666667,147,-23.1116666666667,176
"0526","Atlanta","Falcons","ATL","DST",NA,48,"DST","weighted",100.326485885218,19,3.29261692170479,18.9675490819131,76.1,111.600087209302,9,-24.7859608774514,178,-10.375,145,-23.209304748062,177
"0527","Carolina","Panthers","CAR","DST",NA,48,"DST","average",110.5,9,1.09999999999999,23.0323685277915,88.69,126.22,5,-14.6833333333333,136,-0.851666666666674,98,-9.71166666666667,138
"0527","Carolina","Panthers","CAR","DST",NA,48,"DST","robust",109.375,9,0.987499999999997,5.78213999999999,88.69,126.22,5,-14.6583333333333,135,-0.851666666666674,98,-9.71166666666667,138
"0527","Carolina","Panthers","CAR","DST",NA,48,"DST","weighted",109.444193247753,9,1.0797502730762,22.7386073353692,88.3,124.104738372093,5,-15.6682535149165,139,1.825,92,-10.7046535852713,139
"0528","Los Angeles","Rams","LAR","DST",NA,48,"DST","average",123.2,3,4.98333333333332,27.8173207432587,88.35,138.39,3,-1.98333333333335,105,-1.19166666666666,101,2.45833333333334,91
"0528","Los Angeles","Rams","LAR","DST",NA,48,"DST","robust",121.7,3,4.18750000000001,38.69586,88.35,138.39,3,-2.33333333333333,106,-1.19166666666666,101,2.45833333333334,91
"0528","Los Angeles","Rams","LAR","DST",NA,48,"DST","weighted",122.860393430138,3,4.74885859162833,27.0150804985969,85.4,136.929462209302,3,-2.25205333253164,105,-1.07499999999999,101,2.12007025193799,93
"0529","New Orleans","Saints","NOS","DST",NA,48,"DST","average",104.833333333333,18,4.86666666666666,21.1050546868122,81.01,118.18,8,-20.35,163,-8.53166666666668,136,-17.7516666666667,162
"0529","New Orleans","Saints","NOS","DST",NA,48,"DST","robust",104.05,17,2.7625,19.42206,81.01,118.18,8,-19.9833333333333,158,-8.53166666666668,136,-17.7516666666667,162
"0529","New Orleans","Saints","NOS","DST",NA,48,"DST","weighted",104.055385864173,18,4.78280972852718,20.616557910855,79.7,116.601947674419,8,-21.0570608984958,165,-6.77499999999999,131,-18.2074442829457,162
"0530","San Francisco","49ers","SFO","DST",NA,48,"DST","average",89.3,30,3.45,21.4553023749375,66.45,104.07,13,-35.8833333333333,217,-23.0916666666667,185,-31.8616666666667,206
"0530","San Francisco","49ers","SFO","DST",NA,48,"DST","robust",88.925,30,4.11250000000001,18.5325,66.45,104.07,13,-35.1083333333333,215,-23.0916666666667,185,-31.8616666666667,206
"0530","San Francisco","49ers","SFO","DST",NA,48,"DST","weighted",88.6413973484051,30,3.56590355650422,20.9744775051343,65.2,102.43039244186,13,-36.4710494142641,221,-21.275,179,-32.3789995155039,205
"0531","Baltimore","Ravens","BAL","DST",NA,48,"DST","average",110.1,10,2.16666666666666,28.9317011828432,84.79,132.31,5,-15.0833333333333,137,-4.75166666666667,121,-3.62166666666667,113
"0531","Baltimore","Ravens","BAL","DST",NA,48,"DST","robust",108.75,10,1.3,8.74733999999999,84.79,132.31,5,-15.2833333333333,138,-4.75166666666667,121,-3.62166666666667,113
"0531","Baltimore","Ravens","BAL","DST",NA,48,"DST","weighted",108.898790447845,10,1.89987022617721,28.5365461538201,84.2,129.68550872093,5,-16.2136563148243,142,-2.27499999999999,111,-5.12388323643412,121
"0532","Houston","Texans","HOU","DST",NA,48,"DST","average",108.7,11,1.78333333333335,21.1547473001531,85.27,121.99,5,-16.4833333333333,144,-4.27166666666666,119,-13.9416666666667,149
"0532","Houston","Texans","HOU","DST",NA,48,"DST","robust",108.025,11,1.28750000000001,15.86382,85.27,121.99,5,-16.0083333333333,142,-4.27166666666666,119,-13.9416666666667,149
"0532","Houston","Texans","HOU","DST",NA,48,"DST","weighted",107.830095501508,11,1.71792006132939,20.7139738656871,84.2,120.305625,5,-17.2823512611611,146,-2.27499999999999,111,-14.5037669573643,152
"4397","Roosevelt","Nix","PIT","RB",26,4,"RB","average",4.675,147,0.14,2.80817259678484,0.39,5.295,18,-107.038333333333,532,-91.1216666666667,461,-123.485333333333,564
"4397","Roosevelt","Nix","PIT","RB",26,4,"RB","robust",4.675,147,0.14,2.29803,0.39,5.295,18,-106.4875,521,-91.1216666666667,461,-123.485333333333,564
"4397","Roosevelt","Nix","PIT","RB",26,4,"RB","weighted",4.65772659732541,147,0.134650817236255,2.86417694216665,0,5.19724164133739,18,-107.247935950651,538,-89.7266666666667,397,-122.878053432118,564
"4925","Drew","Brees","NOS","QB",39,17,"QB","average",256.698666666667,10,2.08333333333331,4.50258873686387,253.585,261.6814,3,6.39755555555556,81,13.7953333333333,66,-1.37506666666667,104
"4925","Drew","Brees","NOS","QB",39,17,"QB","robust",257.0855,10,3.26500000000004,6.14685960000002,253.585,261.6814,3,7.16583333333335,80,13.7953333333333,66,-1.37506666666667,104
"4925","Drew","Brees","NOS","QB",39,17,"QB","weighted",256.78335099059,10,1.80353591077173,4.3780009336156,253.1,261.419912158055,3,6.38905211997312,81,18.06,63,-1.02987710233026,103
"5848","Tom","Brady","NEP","QB",41,18,"QB","average",295.445333333333,2,14.224,17.72516888495,279.457,310.4314,1,45.1442222222222,29,39.6673333333333,35,47.3749333333333,29
"5848","Tom","Brady","NEP","QB",41,18,"QB","robust",296.2115,2,14.38675,14.5976796,279.457,310.4314,1,46.2918333333333,29,39.6673333333333,35,47.3749333333333,29
"5848","Tom","Brady","NEP","QB",41,18,"QB","weighted",295.658782551183,2,13.4411516700238,17.3375540205463,277,309.810413677812,1,45.264483680566,29,41.96,35,47.3606244174265,29
"6589","Josh","McCown","NYJ","QB",39,16,"QB","average",34.33,39,22.749,44.7199429784967,8.377,80.935,10,-215.971111111111,600,-231.412666666667,598,-182.121466666667,599
